"id_wisata","wisata","deskripsi","lat","longi","url_image"
"101","Danau Toba","Danau Toba adalah danau alami berukuran besar di Indonesia yang berada di kaldera Gunung Supervulkan. Danau ini memiliki panjang 100 kilometer, lebar 30 kilometer, dan kedalaman 508 meter. Danau ini terletak di tengah pulau Sumatra bagian utara dengan ketinggian permukaan sekitar 900 meter.
","2.7918","98.6162","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fdanau_toba.jpg?alt=media
"
"102","Pantai Tanjung Kelayang","Pantai Tanjung Kelayang merupakan salah satu pantai yang terletak di Kepulauan Bangka Belitung. Lokasinya berada di Kecamatan Sijuk dan berjarak sekitar 27 kilometer dari Tanjung Pandan yang merupakan ibu kota Kabupaten Belitung
","-2.56028","107.672","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Ftanjung_kelayang.jpg?alt=media
"
"103","Pantai Tanjung Lesung","Tanjung Lesung juga dikenal sebagai kawasan resort pantai terbesar dengan area seluas 1500 hektar dan telah menjadi pilihan wisatawan lokal dan asing. Dalam pembangunannya, Tanjung Lesung tak hanya melakukannya secara mandiri. Tapi juga membuka kerjasama dengan berbagai developer dan pebisnis untuk membangun bisnis tourism, seperti hotel, villa, cafe, theme park, agrowisata dan lain-lain.
","-6.47856","105.656","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Ftanjung_lesung.jpg?alt=media
"
"104","Pulau Seribu","Kepulauan Seribu adalah salah satu wilayah administrasi yang berada di sebelah utara Kota Jakarta. Meski jumlah pulau yang ada sebenarnya tidak sampai seribu, wilayah ini memiliki sederet pulau-pulau indah dengan daya tariknya sendiri. Pulau terdekat berjarak sekitar 45 Km dari Kota Jakarta. Karena ditempuh melalui jalur laut, maka anda tidak perlu terlibat kemacetan lalu lintas untuk mencapai objek wisata ini. Wilayah Kepulauan Seribu secara umum memiliki tiga peruntukan.
","-5.59932","106.55","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fkepulauan_seribu.jpg?alt=media
"
"105","Candi Borobudur","Candi Budha terkenal ini, yang dibangun pada kisaran abad ke-8 dan ke-9, terletak di Jawa Tengah. Candi Borobudur dibangun dalam tiga tingkatan: dasar piramida dengan lima teras persegi konsentris, batang kerucut dengan tiga platform melingkar dan, di bagian paling atas terdapat sebuah stupa monumental. Dinding dan langkan didekorasi dengan relief rendah halus, yang meliputi total luas 2.500 m2. Di sekitar platform melingkar terdapat 72 stupa kerawang, masing-masing berisi patung Buddha. Monumen ini dipugar dengan bantuan UNESCO pada tahun 1970-an.
","-7.60773","110.204","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fborobudur.jpg?alt=media
"
"106","Taman Nasional Bromo Tengger Semeru","Taman Nasional Bromo Tengger Semeru adalah kawasan pegunungan di Jawa Timur, Indonesia, yang terletak di wilayah administratif Kabupaten Pasuruan, Kabupaten Malang, Kabupaten Lumajang dan Kabupaten Probolinggo
","-8.02185","112.952","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fgunung_bromo.png?alt=media
"
"107","Pantai Mandalika","Pantai Kuta, Lombok adalah tempat wisata di Pulau Lombok, Provinsi Nusa Tenggara Barat, Indonesia. Pantai dengan pasir berwarna putih seperti buliran merica ini terletak di Kawasan Ekonomi Khusus Mandalika di Desa Kuta. Pantai Kuta mulai dikenal dan dikembangkan sebagai destinasi wisata pada mulanya oleh PT.
","-8.90052","116.295","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fmandalika.jpg?alt=media
"
"108","Labuan Bajo","Labuan Bajo adalah nama sebuah pelabuhan kecil yang terletak di Nusa Tenggara (Timur), pintu gerbang menuju obyek wisata terkenal bernama Pulau Komodo dan keajaiban pulau lainnya.
","-8.52388","119.481","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Flabuan_bajo.png?alt=media
"
"109","Wakatobi","Wakatobi adalah singkatan dari nama pulau- pulau yang berada disana, yakni Wangi-wangi (ane/ penduduk setempat, menyebutnya Wanci, pulau utama Wakatobi), Kaledupa, Tomia, dan Binongko. Posisi Wakatobi sendiri berada di bagian bawah Provinsi Sulawesi Tenggara, berada di atas laut Banda. Beberapa wisata alam yang ada di Wakatobi adalah Pulau Hoga, Pulau One Mobaa, Pantai Waha, Pemandian Goa Kontamale, Perkampungan Bajo Mola.
","-5.57726","123.931","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fwakatobi.jpg?alt=media
"
"110","Morotai","Kabupaten Pulau Morotai adalah nama sebuah pulau sekaligus kabupaten definitif baru yang terletak di Kepulauan Maluku, Indonesia. Sebagai bagian dari provinsi Maluku Utara, Pulau Morotai merupakan salah satu pulau paling Utara di Indonesia.
","2.39923","128.399","https://firebasestorage.googleapis.com/v0/b/theta-solution-360406.appspot.com/o/ImageTour%2Fmorotai.jpg?alt=media
"
